AreaName,VenueCount,ShowtimeCount,TotalSeats,BookedTickets,TicketsSold,TotalGross,BookedGross,Occupancy
hyderabad,78,535,222715,174411,174411,48732105.00,38200095.00,78.31%
nellore,2,12,4085,2913,2913,913461.00,656977.00,71.31%
guntur,5,21,5089,3611,3611,909269.00,659950.00,70.96%
warangal,6,30,12354,8240,8240,2446690.00,1724565.00,66.70%
vizag-visakhapatnam,24,149,52482,33307,33307,10437555.00,6858947.00,63.46%
vijayawada,21,115,40973,23052,23052,8050965.00,4701033.00,56.26%
bengaluru,80,366,121990,49609,49609,28268695.00,13149865.00,40.67%
khammam,1,4,3512,1249,1249,497060.00,203690.00,35.56%
nizamabad,2,10,3475,695,695,1035025.00,213440.00,20.00%
karimnagar,2,10,3910,677,677,989050.00,190965.00,17.31%
TOTAL_ALL_REGIONS,221,1252,470585,297764,297764,102279875.00,66559527.00,63.28%
